Title,Location,State,City,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
Basic Instinct,Pier 7 (The Embarcadero),CA,San Francisco,37.794996,-122.394324,1,street_center,,Pier,San Francisco,CA,San Francisco County,94105
Basic Instinct,Kearney Street (Telegraph Hill),CA,San Francisco,37.791691,-122.40422,1,street_center,,Kearny St,San Francisco,CA,San Francisco County,94108
Basic Instinct,Hall of Justice (850 Bryant Street),CA,San Francisco,37.732622,-122.407024,1,street_center,,Hale St,San Francisco,CA,San Francisco County,94134
Basic Instinct,2930 Vallejo Street,CA,San Francisco,37.7941645,-122.4457041,1,rooftop,2930,Vallejo St,San Francisco,CA,San Francisco County,94123
Basic Instinct,Chinatown,CA,San Francisco,37.794993,-122.40767,1,street_center,,Old Chinatown Ln,San Francisco,CA,San Francisco County,94108
Basic Instinct,1158-70 Montgomery Street,CA,San Francisco,37.789766,-122.402133,1,range_interpolation,1158-070,Montgomery St,San Francisco,CA,San Francisco County,94104
Basic Instinct,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Basic Instinct,Tosca Café (242 Columbus Avenue),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Basic Instinct,Transbay Terminal (Mission Street at 1st Street),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Basic Instinct,Yuerba Buena Center for the Arts,CA,San Francisco,37.810058,-122.367457,1,street_center,,Yerba Buena Dr,San Francisco,CA,San Francisco County,94130
Beaches,,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Bedazzled,Vaillancourt Fountain (Justin Herman Plaza),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Bedazzled,Montgomery & Market Streets,CA,San Francisco,37.789263,-122.401375,0.79,intersection,,Market St,San Francisco,CA,San Francisco County,94104
Bedazzled,"Washington Square Park (Filbert, between Stockton and Powell)",CA,San Francisco,37.794737,-122.409722,1,intersection,,Powell St,San Francisco,CA,San Francisco County,94108
Bedazzled,1155 Filbert Street at Hyde,CA,San Francisco,37.800134,-122.419232,1,intersection,,Filbert St,San Francisco,CA,San Francisco County,94109
Bedazzled,City Hall,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Bee Season,,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Bicentennial Man,City Hall,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Bicentennial Man,Golden Gate Bridge,CA,San Francisco,37.810977,-122.477578,1,street_center,,Golden Gate Brg,San Francisco,CA,San Francisco County,94129
Bicentennial Man,Treasure Island,CA,San Francisco,37.815742,-122.371546,1,street_center,,Treasure Island Rd,San Francisco,CA,San Francisco County,94130
Bicentennial Man,"Postcard Row, Alamo Square, Hayes Valley",CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Bicentennial Man,Grace Cathedral Episcopal Church (1100 California Street),CA,San Francisco,37.775607,-122.415485,1,street_center,,Grace St,San Francisco,CA,San Francisco County,94103
Big Eyes,Harry's Bar on Fillmore,CA,San Francisco,37.799147,-122.429764,1,street_center,,Harris Pl,San Francisco,CA,San Francisco County,94123
Big Eyes,Nobles Alley,CA,San Francisco,37.801012,-122.407101,1,street_center,,Nobles Aly,San Francisco,CA,San Francisco County,94133
Big Eyes,Caffe Trieste,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Big Eyes,Palace of Fine Arts,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Big Eyes,1101 Filbert St.,CA,San Francisco,37.8001858,-122.4177928,1,rooftop,1101,Filbert St,San Francisco,CA,San Francisco County,94109
Big Eyes,Saints Peter & Paul Church,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Big Eyes,Green St. & Grant Ave.,CA,San Francisco,37.799704,-122.407395,1,intersection,,Grant Ave,San Francisco,CA,San Francisco County,94133
Big Eyes,Filbert St. & Leavenworth,CA,San Francisco,37.800458,-122.416648,0.84,intersection,,Filbert St,San Francisco,CA,San Francisco County,94133
Big Eyes,Pine St. & Grant,CA,San Francisco,37.791498,-122.405742,1,intersection,,Grant Ave,San Francisco,CA,San Francisco County,94108
Big Eyes,Way Faire Inn on Leidsdorff,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Big Sur,"Tosca Café (242 Columbus Avenue, North Beach)",CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Big Touble in Little China,,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Birdman of Alcatraz,Alcatraz Island,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Birdman of Alcatraz,Pier 43 1/2,CA,San Francisco,37.794996,-122.394324,1,street_center,,Pier,San Francisco,CA,San Francisco County,94105
Blue Jasmine,The Ramp Restaurant,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Blue Jasmine,303-305 S. Van Ness,CA,San Francisco,37.768339693878,-122.41779559184,1,range_interpolation,303-305,S Van Ness Ave,San Francisco,CA,San Francisco County,94103
Blue Jasmine,3563 20th St.,CA,San Francisco,37.758551315789,-122.42040168421,1,range_interpolation,3563,20th St,San Francisco,CA,San Francisco County,94110
Blue Jasmine,Taylor & Green St.,CA,San Francisco,37.798888,-122.41393,1,intersection,,Green St,San Francisco,CA,San Francisco County,94133
Blue Jasmine,Grant & Washington St.,CA,San Francisco,37.795144,-122.406476,1,intersection,,Grant Ave,San Francisco,CA,San Francisco County,94108
Blue Jasmine,2934 24th St.,CA,San Francisco,37.7529368,-122.4106225,1,rooftop,2934,24th St,San Francisco,CA,San Francisco County,94110
Blue Jasmine,1138 Alabama St,CA,San Francisco,37.7536458,-122.4113325,1,rooftop,1138,Alabama St,San Francisco,CA,San Francisco County,94110
Blue Jasmine,2915 16th St.,CA,San Francisco,37.7649293,-122.4179093,1,rooftop,2915,16th St,San Francisco,CA,San Francisco County,94110
Blue Jasmine,Trolly Car from Market and 11th,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Blue Jasmine,Real Guitars,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Blue Jasmine,Aub Zam Zam Bar,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Blue Jasmine,790 Ulloa,CA,San Francisco,37.740661122449,-122.46485012245,1,range_interpolation,790,Ulloa St,San Francisco,CA,San Francisco County,94127
Blue Jasmine,SFO International Airport Terminal 3,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Blue Jasmine,2178 Palou Ave.,CA,San Francisco,37.7407325,-122.4017283,1,rooftop,2178,Palou Ave,San Francisco,CA,San Francisco County,94124
Blue Jasmine,South Park,CA,San Francisco,37.768889,-122.388354,1,street_center,,South St,San Francisco,CA,San Francisco County,94107
Blue Jasmine,Jones & Pacific,CA,San Francisco,37.793852,-122.414596,1,street_center,,Jones St,San Francisco,CA,San Francisco County,94109
Blue Jasmine,Pacific & Divisadero,CA,San Francisco,37.792511,-122.441333,1,intersection,,Divisadero St,San Francisco,CA,San Francisco County,94115
Blue Jasmine,Lombard & Hyde,CA,San Francisco,37.801995,-122.419614,1,intersection,,Hyde St,San Francisco,CA,San Francisco County,94109
Blue Jasmine,5546 Geary Ave,CA,San Francisco,37.780608,-122.4791525,1,rooftop,5546,Geary Blvd,San Francisco,CA,San Francisco County,94121
Blue Jasmine,2898 Broadway,CA,San Francisco,37.7933353,-122.4447098,1,rooftop,2898,Broadway,San Francisco,CA,San Francisco County,94123
Blue Jasmine,Motel Capri,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Blue Jasmine,Marina Green,CA,San Francisco,37.806498,-122.4361,1,street_center,,Marina Green Dr,San Francisco,CA,San Francisco County,94123
Blue Jasmine,Ocean Beach at Lincoln,CA,San Francisco,37.726785,-122.466073,1,street_center,,Ocean Ave,San Francisco,CA,San Francisco County,94127
